State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
12,11,Broward,FL,Florida,p102,FRCC
28,55,Issaquena,MS,Mississippi,p87,MISO_South
31,51,Dixon,NE,Nebraska,p40,SPP_North
28,103,Noxubee,MS,Mississippi,p88,SERTP
41,51,Multnomah,OR,Oregon,p5,NorthernGrid_West
6,65,Riverside,CA,California,p10,CAISO
51,69,Frederick,VA,Virginia,p100,PJM_East
5,99,Nevada,AR,Arkansas,p85,MISO_South
48,317,Martin,TX,Texas,p62,ERCOT
39,17,Butler,OH,Ohio,p114,PJM_East
49,19,Grand,UT,Utah,p25,NorthernGrid_South
30,71,Phillips,MT,Montana,p18,NorthernGrid_East
47,63,Hamblen,TN,Tennessee,p92,SERTP
16,33,Clark,ID,Idaho,p16,NorthernGrid_East
55,117,Sheboygan,WI,Wisconsin,p79,MISO_North
54,51,Marshall,WV,West Virginia,p116,PJM_East
37,101,Johnston,NC,North Carolina,p98,SERTP
22,27,Claiborne,LA,Louisiana,p86,MISO_South
17,7,Boone,IL,Illinois,p80,PJM_West
40,83,Logan,OK,Oklahoma,p50,SPP_South
47,39,Decatur,TN,Tennessee,p92,SERTP
19,105,Jones,IA,Iowa,p70,MISO_North
53,21,Franklin,WA,Washington,p3,NorthernGrid_West
46,83,Lincoln,SD,South Dakota,p38,SPP_North
39,13,Belmont,OH,Ohio,p112,PJM_East
51,690,Martinsville,VA,Virginia,p118,PJM_East
27,77,Lake of the Woods,MN,Minnesota,p42,MISO_North
22,67,Morehouse,LA,Louisiana,p86,MISO_South
28,119,Quitman,MS,Mississippi,p87,MISO_South
47,51,Franklin,TN,Tennessee,p92,SERTP
31,63,Frontier,NE,Nebraska,p40,SPP_North
48,163,Frio,TX,Texas,p65,ERCOT
21,171,Monroe,KY,Kentucky,p93,SERTP
54,39,Kanawha,WV,West Virginia,p117,PJM_East
37,85,Harnett,NC,North Carolina,p98,SERTP
41,63,Wallowa,OR,Oregon,p5,NorthernGrid_West
16,47,Gooding,ID,Idaho,p15,NorthernGrid_East
55,25,Dane,WI,Wisconsin,p78,MISO_North
49,1,Beaver,UT,Utah,p25,NorthernGrid_South
37,91,Hertford,NC,North Carolina,p98,SERTP
22,73,Ouachita,LA,Louisiana,p86,MISO_South
51,139,Page,VA,Virginia,p100,PJM_East
55,35,Eau Claire,WI,Wisconsin,p46,MISO_North
41,39,Lane,OR,Oregon,p5,NorthernGrid_West
26,155,Shiawassee,MI,Michigan,p103,MISO_Central
54,63,Monroe,WV,West Virginia,p116,PJM_East
21,163,Meade,KY,Kentucky,p109,PJM_East
31,39,Cuming,NE,Nebraska,p40,SPP_North
48,171,Gillespie,TX,Texas,p64,ERCOT
39,159,Union,OH,Ohio,p112,PJM_East
12,69,Lake,FL,Florida,p101,FRCC
19,93,Ida,IA,Iowa,p45,MISO_North
17,193,White,IL,Illinois,p81,MISO_Central
48,71,Chambers,TX,Texas,p66,MISO_South
48,217,Hill,TX,Texas,p63,ERCOT
51,11,Appomattox,VA,Virginia,p99,PJM_East
17,5,Bond,IL,Illinois,p81,MISO_Central
54,95,Tyler,WV,West Virginia,p116,PJM_East
37,87,Haywood,NC,North Carolina,p97,SERTP
20,135,Ness,KS,Kansas,p53,SPP_South
34,13,Essex,NJ,New Jersey,p126,PJM_East
36,109,Tompkins,NY,New York,p127,NYISO
36,31,Essex,NY,New York,p127,NYISO
21,71,Floyd,KY,Kentucky,p110,PJM_East
5,147,Woodruff,AR,Arkansas,p85,MISO_South
21,217,Taylor,KY,Kentucky,p109,PJM_East
18,77,Jefferson,IN,Indiana,p107,MISO_Central
46,45,Edmunds,SD,South Dakota,p38,SPP_North
50,19,Orleans,VT,Vermont,p129,ISONE
31,95,Jefferson,NE,Nebraska,p40,SPP_North
35,17,Grant,NM,New Mexico,p31,WestConnect_South
51,540,Charlottesville,VA,Virginia,p99,PJM_East
48,339,Montgomery,TX,Texas,p66,MISO_South
56,33,Sheridan,WY,Wyoming,p22,NorthernGrid_East
13,299,Ware,GA,Georgia,p94,SERTP
50,1,Addison,VT,Vermont,p129,ISONE
20,43,Doniphan,KS,Kansas,p53,SPP_South
20,57,Ford,KS,Kansas,p53,SPP_South
48,121,Denton,TX,Texas,p63,ERCOT
29,155,Pemiscot,MO,Missouri,p84,MISO_Central
40,45,Ellis,OK,Oklahoma,p50,SPP_South
16,59,Lemhi,ID,Idaho,p15,NorthernGrid_East
48,343,Morris,TX,Texas,p57,SPP_South
11,1,District of Columbia,DC,District of Columbia,p123,PJM_East
37,113,Macon,NC,North Carolina,p97,SERTP
35,13,Doña Ana,NM,New Mexico,p31,WestConnect_South
20,75,Hamilton,KS,Kansas,p52,SPP_South
13,237,Putnam,GA,Georgia,p94,SERTP
6,99,Stanislaus,CA,California,p9,CAISO
21,121,Knox,KY,Kentucky,p109,PJM_East
34,17,Hudson,NJ,New Jersey,p126,PJM_East
51,199,York,VA,Virginia,p99,PJM_East
47,95,Lake,TN,Tennessee,p92,SERTP
13,285,Troup,GA,Georgia,p94,SERTP
5,65,Izard,AR,Arkansas,p85,MISO_South
45,23,Chester,SC,South Carolina,p95,SERTP
19,25,Calhoun,IA,Iowa,p45,MISO_North
42,27,Centre,PA,Pennsylvania,p119,PJM_East
48,63,Camp,TX,Texas,p57,SPP_South
26,109,Menominee,MI,Michigan,p74,MISO_North
29,165,Platte,MO,Missouri,p54,SPP_South
31,163,Sherman,NE,Nebraska,p40,SPP_North
21,39,Carlisle,KY,Kentucky,p93,SERTP
48,303,Lubbock,TX,Texas,p48,SPP_South
48,383,Reagan,TX,Texas,p62,ERCOT
26,31,Cheboygan,MI,Michigan,p103,MISO_Central
48,367,Parker,TX,Texas,p63,ERCOT
51,57,Essex,VA,Virginia,p99,PJM_East
51,43,Clarke,VA,Virginia,p100,PJM_East
19,35,Cherokee,IA,Iowa,p45,MISO_North
17,173,Shelby,IL,Illinois,p83,MISO_Central
28,149,Warren,MS,Mississippi,p87,MISO_South
29,215,Texas,MO,Missouri,p84,MISO_Central
